ID,Title,AutomationStatus,
66142,Verify that the apps (Active and Paused both) deleted by Customer Admin doesn't appear in  App Catalogue.,Planned,
66145,Verify that MADP agent ignores a Delete command if the relevant application is not yet installed on the device.,Planned,
66147,Verify the icon of a web application should change when MADP agent receives a 'Blocked' status for any installed application.,Planned,
66148,Verify the behavior of MADP agent when the web app's state changes from 'Active' to 'Blocked'.,Planned,
66149,Verify the behavior of MADP agent when the web app's state changes from 'Blocked' to 'Active'.,Planned,
66150,Verify the behavior of MADP agent when it recieves a 'Blocked' status for an app which is not yet installed in the app catalogue.,Planned,
69481,Verify that user should be able to edit the app info from IDE,Planned,
69484,Verify that all the pre-saved data is loaded & displayed correctly to user on editing app.,Planned,
69485,Verify that all the field related validations should remain intact on editing an app similarly as on create new app page.,Planned,
69486,Verify that user should be able to edit the information of every field (Name Description & app icon).,Planned,
69487,Verify that while editing an app "Save& continue" button should be enables &  is clickable to user to save the edited app's data at any time.,Planned,
69489,Verify that there should be any visual indication to user (alert pop up toast message etc) to ensure the user that the modified data is saved successfully.,Planned,
69490,Verify that on clicking the "Save & Continue" user should be redirected to IDE,Planned,
69492,Verify that all the modified data should get reflected on manage app page (i.e icon name description etc) after clicking on "save & Continue" button.,Planned,
69498,Verify that on clicking the Cancel button OR cross icon all the changes should be discarded & manage app page should display to user.,Planned,
69874,To verify that device agent should display a message "No apps found" if no web app is available for that tenant on the WC.,Planned,
69875,To verify that the device agent polls for the new info on server each time it is fresh launched or Pull to refresh app catalog screen,Planned,
69971,Verify action menu corresponding to Active app,Planned,
70009,Verify action menu corresponding to Blocked app,Planned,
70010,Verify action menu corresponding to DRAFT app,Planned,
70012,Verify the alert confirmation message appears on screen when an admin tries to publish an app which is in Draft state.,Planned,
70279,Positive Scenario | Verify that the default size of the label is fixed at 14px.,Planned,
70511,Positive Scenario | Verify that when admin updates a NAME of the Label on the property windows same should reflect on the canvas.,Planned,
70534,Verify that an admin is able to select any colour from the colour picker present in the property window and same should reflect on canvas and agent.,Planned,
70782,Verify the alert confirmation message appears on screen when an admin tries to Activate an already Blocked app.,Planned,
70784,Verify the alert confirmation message appears on screen when an admin tries to Block an Activated app.,Planned,
70786,Verify the alert confirmation message appears on screen when an admin tries to Delete an Activated app/App version,Planned,
70788,Verify the alert confirmation message appears on screen when an admin tries to Delete an app which is in Draft state.,Planned,
70811,Verify that user is able to sync data of a form consists of single and multi-select check boxes.,Planned,
70831,Server | Verify user is able to successfully save the form having dragged Camera Controller.,Planned,
70832,Server | Verify User is able to Publish an app having the camera control.,Planned,
71044,Verify that the users are allowed to see the preview of the image captured by them through Gallery,Planned,
71046,Verify that for multi camera controller app the preview should happen for single camera control specific images and not for all images capture for the web form app,Planned,
71204,To verify that textbox is available in the control list present in controls toolbox,Planned,
71205,To verify user can drop the dragged textbox on the canvas area successfully,Planned,
71206,To verify that general Property category comes expanded by default,Planned,
71207,To verify that General property  category should be collapsible and expandable,Planned,
71208,To verify that General property  category should be expandable,Planned,
71211,To verify the set of properties made available to user for text box under property window.,Planned,
71212,To verify that a text box has a default unique ID and is editable in the property window,Planned,
71213,To verify that a text box unique ID can be edited through the property window,Planned,
71214,To verify that user does not see any Display text by default on the placeholder property  in the property window,Planned,
71215,To verify that user is able set focus on placeholder and provide placeholder value to the text box in the property window and the value should get reflected on canvas,Planned,
71216,To verify that user is able to see the placeholder given  inside the text box on the canvas,Planned,
71217,To verify that if user edits and provides new Placeholder in the property window the same is reflected on canvas,Planned,
71218,To verify that user sees default value for Descriptive name for the text box  and it should be editable in the property window,Planned,
71220,To verify that user can provide text field type to the text box in the property window,Planned,
71221,{NA} To verify that the default value of the type dropdown is 'text',Planned,
71234,To verify that user is able to save an app with default text box property values in property window,Planned,
71235,To verify that user is able to save an app with new values provided for every text box property in property window,Planned,
71236,To verify the behaviour of Web console when user clicks on <back to manage app> page when the App containing text box is not saved,Planned,
71249,To verify that Data Source property  category should be collapsible.,Planned,
71508,To verify that Rules property  category should be expandable and collapsible,Planned,
71509,To verify that Validation property  category should be collapsible,Planned,
72141,Verify the Property catagories and their state for Camera control,Planned,
72142,Verify the default values assigned to the properties inside Image Attributes pane.,Planned,
72143,To verify that image quality set at web console for a camera control should be achieved on Agent while capturing the image,Planned,
73420,Verify that user is able to edit the values for different pre-filled text fields present on the edit  record screen and save in SQLite on click of Submit,Planned,
73421,Verify that if the fields on edit screen is blank on launch the user should be able to give new value and save it to SQLite db.,Planned,
73425,Verify that user is able to udpate an app with long (scrollable) form containing textbox only.,Planned,
73427,Verify that the updated values of a record are visible on the same location in the list view and on the SQLite DB. (No new entry should be added in the list view.),Planned,
73428,Verify that a record having Checkbox and text box is rendered successfully on Edit app page,Planned,
73431,Verify that the check boxes and text boxes are editable in Edit app page,Planned,
73432,Verify that if user has not selected any checkbox option while creating the record  user should be able to select option on Edit page,Planned,
73434,Verify that if the user clears the record and goes off the edit page he should be able to see the record pre-filled with same values on the second arrival.,Planned,
73435,To verify that Agent should receive successful sync notification on click on Sync Icon from Add record page,Planned,
73441,To verify that All images contained in the records are synced to image repository and stored at S3 or on the server.,Planned,
73555,Verify that no record will be updated in the list view if user tap on cancel/back button.,Planned,
74907,Verify that user is able to edit and then save a prefilled form by tapping on any entry on the list view having an app of textbox and check boxes.,Planned,
74909,Verify that the updated data regarding checkboxes and text boxes are getting reflected on the SQLite DB of the device agent,Planned,
74911,Verify that user is allowed to update an already updated record from the list view having an app of textbox and check boxes.,Planned,
74913,Verify that user is able to update a record of an app containing a long form of textbox and check boxes.,Planned,
74914,Verify that user is allowed to submit a blank record when tries to edit a form of textbox and check boxes.,Planned,
74991,To Verify the Drop down is available on the Control Toolbox and Admin should be able to drag the dropdown control from Toolbox and should be able to drop on the canvas page,Planned,
74992,To Verify that the Admin should be able to drag and drop multiple dropdown control from Toolbox,Planned,
74993,To verify the property window and its sections for a dropdown control (expandable and collapsible property),Planned,
74994,Verify the default value of 'ID' and it is editable.,Planned,
74995,Verify the ID property of dropdown control is editable,Planned,
74996,Verify the default value of 'Descriptive name ' and it should be editable.,Planned,
74997,To verify that 'ID ' property is editable.,Planned,
75012,To verify the user is able to save the application with the default options,Planned,
75017,To verify the behaviour of Web console if user clicks on <back to manage app>  when the App containing new values of drop down is not saved,Planned,
75018,To verify the behaviour of Web console if user clicks on <back to manage app>  when the App containing new values of drop down is saved,Planned,
75034,Verify that user is able to delete the drop down control from canvas,Planned,
76513,E2E: Verify that user should be able to see more than one dropdown arranged sequentially on the App that has dropdown controls,Planned,
76515,E2E: Verify that user is able to see the default value of dropdown as set on web console per dropdown.,Planned,
76517,E2E: Verify that all the values are selectable on Agent and one at a time,Planned,
76518,E2E: Verify that user is able to save the values selected for drop down along with the inputs for other controls to the local Database on Save (default and selectable values),Planned,
76519,E2E: Verify that for an App on the list view the user should be able to see correct value of dropdown for a record on the list view,Planned,
76740,Verify that the ID property for the label control should always be unique.,Planned,
76741,Verify that it is mandatory for an app developer to provide a Display text in the label control.,Planned,
76742,Verify that an error message is displayed below Font color property if app dev passes any wrong HEX color.,Planned,
76743,Verify that app dev can pass alphanumeric value as Display Text inside Label control.,Planned,
76744,Verify that App dev can pass any special character as Display text inside Label control.,Planned,
76745,Verify that there is no validation present in the Font Style property on the Label control.,Planned,
76746,Verify that there is no validation present in the Alignment property on the Label control.,Planned,
76747,Verify that app dev can only pass a value between 1-99 as Font size inside Label control.,Planned,
76752,Verify that app dev can only enter max of 200 characters in the input field of the Display text  property.,Planned,
77246,E2E: Verify that if the user does not set any default option for dropdown on console by default 'select a value' is option is displayed first in the list at agent,Planned,
77247,E2E: Verify that if user does not select any value on dropdown at agent when no default value is set on console 'Select a value' is save on the SQLite DB,Planned,
77248,E2E: Verify that all values of dropdown should be displyed in a the same order as set on Server.,Planned,
78440,Verify the checkbox option is available on the IDE,Planned,
78441,Verify the user is able to drag the checkbox option and drop it on the canvas on any page.,Planned,
78442,Verify all the properties of checkbox are expanded by default and user can collapse and expand it again.,Planned,
78443,Verify the ID in the checkbox property should be editable.,Planned,
78444,Verify the default value of 'Descriptive name ' and is editable.,Planned,
78445,Verify the 'Descriptive name ' property should be editable,Planned,
78446,Verify an error should display if the 'Descriptive name ' is empty,Planned,
78447,Verify the BVA of 'Descriptive name ' property and should accept values having alphabets numeric and special characters,Planned,
78448,Verify the 'Descriptive name ' should accept values having alphabets numeric and special characters,Planned,
78450,Verify the data source property of checkbox,Planned,
78451,Verify the default value of Label and ID under data source and these textboxes should be editable,Planned,
78452,Verify the Label and ID textboxes underdata source are editable,Planned,
78453,Verify the error message if the Label textbox under data source is empty,Planned,
